title,label1,label2,label3,label4,label5
Smoothed Noise and Mexican Hat Coupling Produce Pattern in a Stochastic Neural Field,,,,QBY,
NeuroNER: an easy-to-use program for named-entity recognition based on neural networks,CSC,,STA,,
Macro diversity in Cellular Networks with Random Blockages,CSC,,,,
Opinion dynamics model based on cognitive biases,CSC,PHY,,,
ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,,,,QBY,
Explicit evaluation of harmonic sums,,,,,
Complete Cyclic Proof Systems for Inductive Entailments,CSC,,,,
HybridNet: Classification and Reconstruction Cooperation for Semi-Supervised Learning,,,STA,,
Learning Distributed Representations of Texts and Entities from Knowledge Base,CSC,,,,
Moduli Spaces of Unordered $n\ge5$ Points on the Riemann Sphere and Their Singularities,,,,,
Multipath Error Correction in Radio Interferometric Positioning Systems,CSC,,,,
An evaluation homomorphism for quantum toroidal gl(n) algebras,,,,,
"A Framework for Time-Consistent, Risk-Sensitive Model Predictive Control: Theory and Algorithms",CSC,,,,
Monitoring Telluric Absorption with CAMAL,,PHY,,,
Common Knowledge in a Logic of Gossips,CSC,,,,
Network-theoretic approach to sparsified discrete vortex dynamics,,PHY,,,
Bäcklund Transformation and Quasi-Integrable Deformation of Mixed Fermi-Pasta-Ulam and Frenkel-Kontorova Models,,PHY,,,
Data-Mining Textual Responses to Uncover Misconception Patterns,CSC,,STA,,
Symmetries of handlebodies and their fixed points: Dihedral extended Schottky groups,,,,,
Speaker Diarization using Deep Recurrent Convolutional Neural Networks for Speaker Embeddings,CSC,,,,
A Robust Multi-Batch L-BFGS Method for Machine Learning,CSC,,STA,,
Network of vertically c-oriented prism shaped InN nanowalls grown on c-GaN/sapphire template by chemical vapor deposition technique,,PHY,,,
Enhanced version of AdaBoostM1 with J48 Tree learning method,,,STA,,
A Game of Tax Evasion: evidences from an agent-based model,,,,,QFI
Variability response functions for statically determinate beams with arbitrary nonlinear constitutive laws,,PHY,,,
Bayesian Uncertainty Estimation for Batch Normalized Deep Networks,,,STA,,
Multi-Antenna Coded Caching,CSC,,,,
Convolved subsampling estimation with applications to block bootstrap,,,STA,,
Computing Simple Multiple Zeros of Polynomial Systems,,,,,
Latent Geometry and Memorization in Generative Models,CSC,,STA,,
Refracting Metasurfaces without Spurious Diffraction,,PHY,,,
Accurate Motion Estimation through Random Sample Aggregated Consensus,CSC,,,,
Landau Collision Integral Solver with Adaptive Mesh Refinement on Emerging Architectures,CSC,,,,
A Topologist's View of Kinematic Maps and Manipulation Complexity,CSC,,,,
Faster Tensor Canonicalization,CSC,,,,
Mass Preconditioning for the Exact One-Flavor Action in Lattice QCD with Domain-Wall Fermion,,PHY,,,
Finite-time scaling at the Anderson transition for vibrations in solids,,PHY,,,
Universal and shape dependent features of surface superconductivity,,PHY,,,
Weighted Low Rank Approximation for Background Estimation Problems,,,,,
Controlling Chiral Domain Walls in Antiferromagnets Using Spin-Wave Helicity,,PHY,,,
The Spatial Shape of Avalanches,,PHY,,,
Multiple Topological Electronic Phases in Superconductor MoC,,PHY,,,
Extension complexity of stable set polytopes of bipartite graphs,CSC,,,,
Performance Scaling Law for Multi-Cell Multi-User Massive MIMO,CSC,,,,
On the Status of the Measurement Problem: Recalling the Relativistic Transactional Interpretation,,PHY,,,
Pressure-tuning of bond-directional exchange interactions and magnetic frustration in hyperhoneycomb iridate $β$-$\mathrm{Li_2IrO_3}$,,PHY,,,
On perpetuities with gamma-like tails,,,,,
Computationally Efficient Estimation of the Spectral Gap of a Markov Chain,,,STA,,
Mixed Precision Training of Convolutional Neural Networks using Integer Operations,CSC,,,,
Performance of a small size telescope (SST-1M) camera for gamma-ray astronomy with the Cherenkov Telescope Array,,PHY,,,
Bounded solutions for a class of Hamiltonian systems,,,,,
Cosmological perturbation effects on gravitational-wave luminosity distance estimates,,PHY,,,
Biocompatible Writing of Data into DNA,CSC,PHY,,,
Faster Clustering via Non-Backtracking Random Walks,CSC,,STA,,
Nanostructured complex oxides as a route towards thermal behavior in artificial spin ice systems,,PHY,,,
Finding Submodularity Hidden in Symmetric Difference,CSC,,,,
On the Consistency of Quick Shift,CSC,,STA,,
Adaptive Quantization for Deep Neural Network,CSC,,STA,,
A Simple Convolutional Generative Network for Next Item Recommendation,,,STA,,
High-temperature terahertz optical diode effect without magnetic order in polar FeZnMo$_3$O$_8$,,PHY,,,
Character Networks and Book Genre Classification,CSC,PHY,,,
Phase diagrams of Bose-Hubbard model and antiferromagnetic spin-1/2 models on a honeycomb lattice,,PHY,,,
Forecasting the Impact of Stellar Activity on Transiting Exoplanet Spectra,,PHY,,,
A Domain Specific Language for Performance Portable Molecular Dynamics Algorithms,CSC,PHY,,,
CMB anisotropies at all orders: the non-linear Sachs-Wolfe formula,,PHY,,,
On a binary system of Prendiville: The cubic case,,,,,
Learning Normalized Inputs for Iterative Estimation in Medical Image Segmentation,CSC,,,,
Strong isomorphism in Marinatto-Weber type quantum games,CSC,,,,
Riemannian stochastic variance reduced gradient,CSC,,STA,,
Causal Inference by Stochastic Complexity,CSC,,,,
Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results,CSC,,STA,,
WOMBAT: A Scalable and High Performance Astrophysical MHD Code,,PHY,,,
Securing Virtual Network Function Placement with High Availability Guarantees,CSC,,,,
The Case for Pyriproxyfen as a Potential Cause for Microcephaly; From Biology to Epidemiology,,PHY,,,
A decentralized proximal-gradient method with network independent step-sizes and separated convergence rates,,,STA,,
CODA: Enabling Co-location of Computation and Data for Near-Data Processing,CSC,,,,
Generative Models for Spear Phishing Posts on Social Media,,,STA,,
SkipFlow: Incorporating Neural Coherence Features for End-to-End Automatic Text Scoring,CSC,,,,
Automated Speed and Lane Change Decision Making using Deep Reinforcement Learning,CSC,,,,
Reduction of topological $\mathbb{Z}$ classification in cold atomic systems,,PHY,,,
Reducing biases on $H_0$ measurements using strong lensing and galaxy dynamics: results from the EAGLE simulation,,PHY,,,
Characterizing the ionospheric current pattern response to southward and northward IMF turnings with dynamical SuperMAG correlation networks,,PHY,,,
On a question of Buchweitz about ranks of syzygies of modules of finite length,,,,,
Learning convex bounds for linear quadratic control policy synthesis,,,STA,,
General mixed multi-soliton solution to the multi-component Maccari system,,PHY,,,
Resolution and Relevance Trade-offs in Deep Learning,CSC,,,,
Heisenberg Modules over Quantum 2-tori are metrized quantum vector bundles,,,,,
GraphCombEx: A Software Tool for Exploration of Combinatorial Optimisation Properties of Large Graphs,CSC,,,,
Approches d'analyse distributionnelle pour améliorer la désambiguïsation sémantique,CSC,,,,
Non-degenerate parametric resonance in tunable superconducting cavity,,PHY,,,
Toward Controlled Generation of Text,CSC,,STA,,
Human peripheral blur is optimal for object recognition,,,,QBY,
Acceleration of Mean Square Distance Calculations with Floating Close Structure in Metadynamics Simulations,CSC,,,,
Bridging Semantic Gaps between Natural Languages and APIs with Word Embedding,CSC,,,,
Feedback optimal controllers for the Heston model,,,,,
User Experience of the CoSTAR System for Instruction of Collaborative Robots,CSC,,,,
Graph complexity and Mahler measure,,,,,
Neutronic Analysis on Potential Accident Tolerant Fuel-Cladding Combination U$_3$Si$_2$-FeCrAl,,PHY,,,
Total-positivity preservers,,,,,
A revision of the subtract-with-borrow random number generators,CSC,PHY,,,
A Macdonald refined topological vertex,,,,,
Bias voltage effects on tunneling magnetoresistance in Fe/MgAl${}_2$O${}_4$/Fe(001) junctions: Comparative study with Fe/MgO/Fe(001) junctions,,PHY,,,
Listen to Your Face: Inferring Facial Action Units from Audio Channel,CSC,,,,
Icing on the Cake: An Easy and Quick Post-Learnig Method You Can Try After Deep Learning,,,STA,,
Minimal Effort Back Propagation for Convolutional Neural Networks,CSC,,STA,,
Estimating Achievable Range of Ground Robots Operating on Single Battery Discharge for Operational Efficacy Amelioration,CSC,,,,
Likelihood ratio test for variance components in nonlinear mixed effects models,,,STA,,
Hölder continuous solutions of the Monge-Ampère equation on compact Hermitian manifolds,,,,,
The beamformer and correlator for the Large European Array for Pulsars,,PHY,,,
Solving $\ell^p\!$-norm regularization with tensor kernels,,,STA,,
Adversarial Phenomenon in the Eyes of Bayesian Deep Learning,CSC,,STA,,
Comparative Climates of TRAPPIST-1 planetary system: results from a simple climate-vegetation model,,PHY,,,
Boundedness of $\mathbb{Q}$-Fano varieties with degrees and alpha-invariants bounded from below,,,,,
Width Hierarchies for Quantum and Classical Ordered Binary Decision Diagrams with Repeated Test,CSC,,,,
Complementary views on electron spectra: From Fluctuation Diagnostics to real space correlations,,PHY,,,
Stall force of a cargo driven by N interacting motor proteins,,PHY,,,
Dynamics of a Camphoric Acid boat at the air-water interface,,PHY,,,
Separation of time scales and direct computation of weights in deep neural networks,CSC,,STA,,
$q$-deformed quadrature operator and optical tomogram,,PHY,,,
Efficient Graph Edit Distance Computation and Verification via Anchor-aware Lower Bound Estimation,CSC,,,,
Asymptotic measures and links in simplicial complexes,,,,,
Usability of Humanly Computable Passwords,CSC,,,,
Shared urbanism: Big data on accommodation sharing in urban Australia,CSC,PHY,,,
Structural changes in the interbank market across the financial crisis from multiple core-periphery analysis,,,,,QFI
Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples,CSC,,,,
Performance analysis of smart digital signage system based on software-defined IoT and invisible image sensor communication,CSC,,,,
What pebbles are made of: Interpretation of the V883 Ori disk,,PHY,,,
Existence and uniqueness of steady weak solutions to the Navier-Stokes equations in $\mathbb{R}^2$,,,,,
More on products of Baire spaces,,,,,
Social versus Moral preferences in the Ultimatum Game: A theoretical model and an experiment,,,,QBY,
Moderate Deviation Analysis for Classical-Quantum Channels and Quantum Hypothesis Testing,CSC,,,,
A simple recipe for making accurate parametric inference in finite sample,,,STA,,
GBDT of discrete skew-selfadjoint Dirac systems and explicit solutions of the corresponding non-stationary problems,,,,,
Panel collapse and its applications,,,,,
Smooth Neighbors on Teacher Graphs for Semi-supervised Learning,CSC,,STA,,
Detecting Heavy Flows in the SDN Match and Action Model,CSC,,,,
Optimal Resource Allocation with Node and Link Capacity Constraints in Complex Networks,CSC,PHY,,,
On the complexity of solving a decision problem with flow-depending costs: the case of the IJsselmeer dikes,,,,,QFI
Achieving Spectrum Efficient Communication Under Cross-Technology Interference,CSC,,,,
A Galactic Cosmic Ray Electron Intensity Increase of a factor of up to 100 At Energies between 3 and 50 MeV in the Heliosheath between the Termination Shock and the Heliopause Due to Solar Modulation As Measured by Voyager 1,,PHY,,,
Statistical foundations for assessing the difference between the classical and weighted-Gini betas,,,STA,,
Integrating Human-Provided Information Into Belief State Representation Using Dynamic Factorization,CSC,,,,
Characterizing complex networks using Entropy-degree diagrams: unveiling changes in functional brain connectivity induced by Ayahuasca,,,,QBY,
On Integral Upper Limits Assuming Power Law Spectra and the Sensitivity in High-Energy Astronomy,,PHY,,,
Estimates for solutions of Dirac equations and an application to a geometric elliptic-parabolic problem,,,,,
Analysis of Political Party Twitter Accounts' Retweeters During Japan's 2017 Election,CSC,,,,
When a triangle is isosceles?,,,,,
Anomaly detecting and ranking of the cloud computing platform by multi-view learning,CSC,,STA,,
On self-affine sets,,,,,
The effect of phase change on stability of convective flow in a layer of volatile liquid driven by a horizontal temperature gradient,,PHY,,,
A graph model of message passing processes,CSC,,,,
Learning the Sparse and Low Rank PARAFAC Decomposition via the Elastic Net,,,STA,,
"Holomorphic differentials, thermostats and Anosov flows",,,,,
"Multiplicative slices, relativistic Toda and shifted quantum affine algebras",,,,,
Statistical Latent Space Approach for Mixed Data Modelling and Applications,CSC,,STA,,
Near-field coupling of gold plasmonic antennas for sub-100 nm magneto-thermal microscopy,,PHY,,,
A reproducible effect size is more useful than an irreproducible hypothesis test to analyze high throughput sequencing datasets,,,,QBY,
High temperature thermodynamics of the honeycomb-lattice Kitaev-Heisenberg model: A high temperature series expansion study,,PHY,,,
"Laplace Beltrami operator in the Baran metric and pluripotential equilibrium measure: the ball, the simplex and the sphere",,,,,
Magnetic polarons in a nonequilibrium polariton condensate,,PHY,,,
Inference in Sparse Graphs with Pairwise Measurements and Side Information,CSC,,,,
Oracle Importance Sampling for Stochastic Simulation Models,,,STA,,
The Generalized Cross Validation Filter,CSC,,STA,,
Coherence of Biochemical Oscillations is Bounded by Driving Force and Network Topology,,PHY,,,
How Do Classifiers Induce Agents To Invest Effort Strategically?,,,STA,,
Guiding Reinforcement Learning Exploration Using Natural Language,CSC,,STA,,
Of the People: Voting Is More Effective with Representative Candidates,CSC,,,,
Cell Coverage Extension with Orthogonal Random Precoding for Massive MIMO Systems,CSC,,,,
Hidden Community Detection in Social Networks,CSC,PHY,STA,,
Two-photon exchange correction to the hyperfine splitting in muonic hydrogen,,PHY,,,
Ising Models with Latent Conditional Gaussian Variables,CSC,,STA,,
Quasiparticles and charge transfer at the two surfaces of the honeycomb iridate Na$_2$IrO$_3$,,PHY,,,
Breaking Bivariate Records,,,STA,,
A Bag-of-Paths Node Criticality Measure,CSC,PHY,,,
Generation and analysis of lamplighter programs,CSC,,,,
A Projection-Based Reformulation and Decomposition Algorithm for Global Optimization of a Class of Mixed Integer Bilevel Linear Programs,,,,,
Preduals for spaces of operators involving Hilbert spaces and trace-class operators,,,,,
Computing maximum cliques in $B_2$-EPG graphs,CSC,,,,
Interactions between Health Searchers and Search Engines,CSC,,,,
Effect algebras as presheaves on finite Boolean algebras,,,,,
Training Deep Convolutional Neural Networks with Resistive Cross-Point Devices,CSC,,STA,,
Absolute versus convective helical magnetorotational instabilities in Taylor-Couette flows,,PHY,,,
Symmetries and multipeakon solutions for the modified two-component Camassa-Holm system,,,,,
Selection of quasi-stationary states in the Navier-Stokes equation on the torus,,,,,
Geometric Enclosing Networks,CSC,,STA,,
A pliable lasso for the Cox model,,,STA,,
Localized magnetic moments with tunable spin exchange in a gas of ultracold fermions,,PHY,,,
Khintchine's Theorem with random fractions,,,,,
A Method of Generating Random Weights and Biases in Feedforward Neural Networks with Random Hidden Nodes,CSC,,STA,,
The Relative Performance of Ensemble Methods with Deep Convolutional Neural Networks for Image Classification,CSC,,STA,,
Representation of big data by dimension reduction,CSC,,STA,,
Out-degree reducing partitions of digraphs,CSC,,,,
Introduction to Plasma Physics,,PHY,,,
Presymplectic convexity and (ir)rational polytopes,,,,,
Unsupervised Learning of Mixture Regression Models for Longitudinal Data,,,STA,,
Anomalous electron states,,PHY,,,
Theoretical calculation of the fine-structure constant and the permittivity of the vacuum,,PHY,,,
LEADER: fast estimates of asteroid shape elongation and spin latitude distributions from scarce photometry,,PHY,,,
Calibrated Projection in MATLAB: Users' Manual,,,STA,,
Atomic Clock Measurements of Quantum Scattering Phase Shifts Spanning Feshbach Resonances at Ultralow Fields,,PHY,,,
Temporal processing and context dependency in C. elegans mechanosensation,,,,QBY,
On the putative essential discreteness of q-generalized entropies,,PHY,,,
Spin Distribution of Primordial Black Holes,,PHY,,,
Automated flow for compressing convolution neural networks for efficient edge-computation with FPGA,CSC,,,,
Pulse rate estimation using imaging photoplethysmography: generic framework and comparison of methods on a publicly available dataset,,PHY,,,
Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution,CSC,,,,
Foundation for a series of efficient simulation algorithms,CSC,,,,
A Review of Macroscopic Motion in Thermodynamic Equilibrium,,PHY,,,
Emergent electronic structure of CaFe2As2,,PHY,,,
Lord Kelvin's method of images approach to the Rotenberg model and its asymptotics,,,,,
Study of the Magnetizing Relationship of the Kickers for CSNS,,PHY,,,
"Smart ""Predict, then Optimize""",CSC,,STA,,
U-SLADS: Unsupervised Learning Approach for Dynamic Dendrite Sampling,,,STA,,
On a registration-based approach to sensor network localization,CSC,,,,
Density estimation on small datasets,CSC,,,QBY,
"Generalized Euler classes, differential forms and commutative DGAs",,,,,
Episodic memory for continual model learning,CSC,,STA,,
Security Trust Zone in 5G Networks,CSC,,,,
Upper-Bounding the Regularization Constant for Convex Sparse Signal Reconstruction,,,STA,,
On the Privacy of the Opal Data Release: A Response,CSC,,,,
Long time behavior of Gross-Pitaevskii equation at positive temperature,,,,,
Isomorphism and Morita equivalence classes for crossed products of irrational rotation algebras by cyclic subgroups of $SL_2(\mathbb{Z})$,,,,,
Model Predictive Control for Distributed Microgrid Battery Energy Storage Systems,CSC,,,,
On noncommutative geometry of the Standard Model: fermion multiplet as internal forms,,,,,
A Review of Dynamic Network Models with Latent Variables,,,STA,,
LevelHeaded: Making Worst-Case Optimal Joins Work in the Common Case,CSC,,,,
Few-shot learning of neural networks from scratch by pseudo example optimization,,,STA,,
Identities and congruences involving the Fubini polynomials,,,,,
Introduction to Delay Models and Their Wave Solutions,,,,,
On Dummett's Pragmatist Justification Procedure,,,,,
Evidence for a radiatively driven disc-wind in PDS 456?,,PHY,,,
From a normal insulator to a topological insulator in plumbene,,PHY,,,
High-sensitivity Kinetic Inductance Detectors for CALDER,,PHY,,,
Bounding the composition length of primitive permutation groups and completely reducible linear groups,,,,,
A Bernstein Inequality For Spatial Lattice Processes,,,STA,,
An Exploration of Approaches to Integrating Neural Reranking Models in Multi-Stage Ranking Architectures,CSC,,,,
Dispersive Regimes of the Dicke Model,,PHY,,,
"ZebraLancer: Crowdsource Knowledge atop Open Blockchain, Privately and Anonymously",CSC,,,,
"Fast, Better Training Trick -- Random Gradient",,,STA,,
Expressions of Sentiments During Code Reviews: Male vs. Female,CSC,,,,
Monotonicity patterns and functional inequalities for classical and generalized Wright functions,,,,,
Multiple VLAD encoding of CNNs for image classification,CSC,,,,
Index of Dirac operators and classification of topological insulators,,PHY,,,
Centroid vetting of transiting planet candidates from the Next Generation Transit Survey,,PHY,,,
Galaxy And Mass Assembly: the evolution of the cosmic spectral energy distribution from z = 1 to z = 0,,PHY,,,
Large sums of Hecke eigenvalues of holomorphic cusp forms,,,,,
EAD: Elastic-Net Attacks to Deep Neural Networks via Adversarial Examples,CSC,,STA,,
Playtime Measurement with Survival Analysis,CSC,,STA,,
Asymptotic formula of the number of Newton polygons,,,,,
Invariant-based inverse engineering of crane control parameters,,PHY,,,
Leaf Space Isometries of Singular Riemannian Foliations and Their Spectral Properties,,,,,
Backward Monte-Carlo applied to muon transport,,PHY,,,
Functional importance of noise in neuronal information processing,,,,QBY,
Stochastic Variance Reduction Methods for Policy Evaluation,CSC,,STA,,
Self-consistent dynamical model of the Broad Line Region,,PHY,,,
Measuring the polarization of electromagnetic fields using Rabi-rate measurements with spatial resolution: experiment and theory,,PHY,,,
Software-based Microarchitectural Attacks,CSC,,,,
Pixelwise Instance Segmentation with a Dynamically Instantiated Network,CSC,,,,
Binary Matrix Factorization via Dictionary Learning,,,STA,,
Enriching Complex Networks with Word Embeddings for Detecting Mild Cognitive Impairment from Speech Transcripts,CSC,,,,
The many faces of degeneracy in conic optimization,,,,,
Strong homotopy types of acyclic categories and $Δ$-complexes,,,,,
Boundary problems for the fractional and tempered fractional operators,,,,,
Bohm's approach to quantum mechanics: Alternative theory or practical picture?,,PHY,,,
Continuous-wave virtual-state lasing from cold ytterbium atoms,,PHY,,,
Assessment of Future Changes in Intensity-Duration-Frequency Curves for Southern Ontario using North American (NA)-CORDEX Models with Nonstationary Methods,,PHY,STA,,
Improved Algorithms for Computing the Cycle of Minimum Cost-to-Time Ratio in Directed Graphs,CSC,,,,
"Interplay of dust alignment, grain growth and magnetic fields in polarization: lessons from the emission-to-extinction ratio",,PHY,,,
Asynchronous Distributed Variational Gaussian Processes for Regression,,,STA,,
Bayesian Unification of Gradient and Bandit-based Learning for Accelerated Global Optimisation,CSC,,,,
Stacco: Differentially Analyzing Side-Channel Traces for Detecting SSL/TLS Vulnerabilities in Secure Enclaves,CSC,,,,
Automatic Extrinsic Calibration for Lidar-Stereo Vehicle Sensor Setups,CSC,,,,
"Representations of Super $W(2,2)$ algebra $\mathfrak{L}$",,,,,
Effective Reformulation of Query for Code Search using Crowdsourced Knowledge and Extra-Large Data Analytics,CSC,,,,
Detecting Bot Activity in the Ethereum Blockchain Network,CSC,,,,
Near-infrared laser thermal conjunctivoplasty,,PHY,,,
Superconductivity at 7.3 K in the 133-type Cr-based RbCr3As3 single crystals,,PHY,,,
Solution of parabolic free boundary problems using transmuted heat polynomials,,,,,
"Neural-Network Quantum States, String-Bond States, and Chiral Topological States",,PHY,STA,,
Nondestructive testing of grating imperfections using grating-based X-ray phase-contrast imaging,,PHY,,,
End-to-End Information Extraction without Token-Level Supervision,CSC,,,,
Lipschitz regularity of solutions to two-phase free boundary problems,,,,,
VTA: An Open Hardware-Software Stack for Deep Learning,,,STA,,
Efficient Localized Inference for Large Graphical Models,CSC,,STA,,
Multi-kink collisions in the $ϕ^6$ model,,PHY,,,
InverseFaceNet: Deep Monocular Inverse Face Rendering,CSC,,,,
Exact partial information decompositions for Gaussian systems based on dependency constraints,,,STA,QBY,
Deep Multimodal Subspace Clustering Networks,,,STA,,
Finite-time generalization of the thermodynamic uncertainty relation,,PHY,,,
Composition Properties of Inferential Privacy for Time-Series Data,CSC,,STA,,
Landau-Ginzburg theory of cortex dynamics: Scale-free avalanches emerge at the edge of synchronization,,,,QBY,
Recurrent Autoregressive Networks for Online Multi-Object Tracking,CSC,,,,
The occurrence of transverse and longitudinal electric currents in the classical plasma under the action of N transverse electromagnetic waves,,PHY,,,
Well-posedness of a Model for the Growth of Tree Stems and Vines,,,,,
Yonsei evolutionary population synthesis (YEPS). II. Spectro-photometric evolution of helium-enhanced stellar populations,,PHY,,,
Large deviation theorem for random covariance matrices,,,,,
Hindsight policy gradients,CSC,,,,
Abundances in photoionized nebulae of the Local Group and nucleosynthesis of intermediate mass stars,,PHY,,,
Are Thousands of Samples Really Needed to Generate Robust Gene-List for Prediction of Cancer Outcome?,,,STA,,
Multi-scale analysis of lead-lag relationships in high-frequency financial markets,,,STA,,
Approximations of the allelic frequency spectrum in general supercritical branching populations,,,,,
Anomaly Detection Using Optimally-Placed Micro-PMU Sensors in Distribution Grids,CSC,,,,
Electron-Phonon Interaction in Ternary Rare-Earth Copper Antimonides LaCuSb2 and La(Cu0.8Ag0.2)Sb2 probed by Yanson Point-Contact Spectroscopy,,PHY,,,
Ultrahigh Magnetic Field Phases in Frustrated Triangular-lattice Magnet CuCrO$_2$,,PHY,,,
Preserving Differential Privacy in Convolutional Deep Belief Networks,CSC,,STA,,
Injectivity almost everywhere and mappings with finite distortion in nonlinear elasticity,,,,,
A probabilistic approach to the leader problem in random graphs,,,,,
An improvement on LSB+ method,CSC,,,,
Oxygen reduction mechanisms in nanostructured La0.8Sr0.2MnO3 cathodes for Solid Oxide Fuel Cells,,PHY,,,
Learning Interpretable Models with Causal Guarantees,CSC,,STA,,
Achromatic super-oscillatory lenses with sub-wavelength focusing,,PHY,,,
Time-dependent linear-response variational Monte Carlo,,PHY,,,
Wireless Power Transfer for Distributed Estimation in Sensor Networks,CSC,,,,
About a non-standard interpolation problem,,,,,
Quantum spin liquid signatures in Kitaev-like frustrated magnets,,PHY,,,
Equivalent electric circuit of magnetosphere-ionosphere-atmosphere interaction,,PHY,,,
Charge polarization effects on the optical response of blue-emitting superlattices,,PHY,,,
Replica analysis of overfitting in regression models for time-to-event data,,PHY,STA,,
System Description: Russell - A Logical Framework for Deductive Systems,CSC,,,,
Spinor analysis,,PHY,,,
Identifiability of phylogenetic parameters from k-mer data under the coalescent,,,,,
Short-Time Nonlinear Effects in the Exciton-Polariton System,,,,,
GTC Observations of an Overdense Region of LAEs at z=6.5,,PHY,,,
"Comment on Photothermal radiometry parametric identifiability theory for reliable and unique nondestructive coating thickness and thermophysical measurements, J. Appl. Phys. 121(9), 095101 (2017)",,PHY,,,
Computing the projected reachable set of switched affine systems: an application to systems biology,CSC,,,,
Temporal Action Localization by Structured Maximal Sums,CSC,,,,
Using Transfer Learning for Image-Based Cassava Disease Detection,CSC,,,,
Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments,CSC,,,,
Alpha-Divergences in Variational Dropout,CSC,,STA,,
Curvature properties of Robinson-Trautman metric,,,,,
Dehn invariant of flexible polyhedra,,,,,
On Evaluation of Embodied Navigation Agents,CSC,,,,
Single Magnetic Impurity in Tilted Dirac Surface States,,PHY,,,
Leveraging the Path Signature for Skeleton-based Human Action Recognition,CSC,,,,
How Many Subpopulations is Too Many? Exponential Lower Bounds for Inferring Population Histories,,,,QBY,
Source localization in an ocean waveguide using supervised machine learning,CSC,PHY,,,
Mining Illegal Insider Trading of Stocks: A Proactive Approach,,,STA,,QFI
Discovery of Extreme [OIII]+H$β$ Emitting Galaxies Tracing an Overdensity at z~3.5 in CDF-South,,PHY,,,
Predictive Simulations for Tuning Electronic and Optical Properties of SubPc Derivatives,,PHY,,,
Learning to attend in a brain-inspired deep neural network,,,,QBY,
Anisotropic functional Laplace deconvolution,,,STA,,
Prediction of many-electron wavefunctions using atomic potentials,,PHY,,,
Free energy of formation of a crystal nucleus in incongruent solidification: Implication for modeling the crystallization of aqueous nitric acid droplets in type 1 polar stratospheric clouds,,PHY,,,
Ensemble learning with Conformal Predictors: Targeting credible predictions of conversion from Mild Cognitive Impairment to Alzheimer's Disease,,,STA,,
Parameter Sharing Deep Deterministic Policy Gradient for Cooperative Multi-agent Reinforcement Learning,CSC,,,,
Repair Strategies for Storage on Mobile Clouds,CSC,,,,
Mean-variance portfolio selection under partial information with drift uncertainty,,,,,QFI
Learning from MOM's principles: Le Cam's approach,,,STA,,
On a Neumann-type series for modified Bessel functions of the first kind,,,,,
Generalized Log-sine integrals and Bell polynomials,,,,,
A Modern Search for Wolf-Rayet Stars in the Magellanic Clouds. III. A Third Year of Discoveries,,PHY,,,
Mathematical modeling of Zika disease in pregnant women and newborns with microcephaly in Brazil,,,,,
A Noninformative Prior on a Space of Distribution Functions,,,STA,,
Towards a realistic NNLIF model: Analysis and numerical solver for excitatory-inhibitory networks with delay and refractory periods,,,,,
An upper bound on the distinguishing index of graphs with minimum degree at least two,,,,,
Adversarial Pseudo Healthy Synthesis Needs Pathology Factorization,CSC,,STA,,
"Closure operators, frames, and neatest representations",,,,,
The structure of rationally factorized Lax type flows and their analytical integrability,,PHY,,,
Learning Policy Representations in Multiagent Systems,,,STA,,
Jamming-Resistant Receivers for the Massive MIMO Uplink,CSC,,,,
Multiplex core-periphery organization of the human connectome,CSC,,,QBY,
Towards Learned Clauses Database Reduction Strategies Based on Dominance Relationship,CSC,,,,
Integrable structure of products of finite complex Ginibre random matrices,,PHY,,,
Global well-posedness of the 3D primitive equations with horizontal viscosity and vertical diffusivity,,PHY,,,
Superintegrable systems on 3-dimensional curved spaces: Eisenhart formalism and separability,,PHY,,,
An Incentive-Based Online Optimization Framework for Distribution Grids,CSC,,,,
Ricci solitons on Ricci pseudosymmetric $(LCS)_n$-manifolds,,,,,
Optimal Gossip Algorithms for Exact and Approximate Quantile Computations,CSC,,,,
Influence of Heat Treatment on the Corrosion Behavior of Purified Magnesium and AZ31 Alloy,,PHY,,,
Towards a scientific blockchain framework for reproducible data analysis,CSC,,,,
Time Series Anomaly Detection; Detection of anomalous drops with limited features and sparse examples in noisy highly periodic data,CSC,,STA,,
A parallel approach to bi-objective integer programming,CSC,,,,
The adaptive zero-error capacity for a class of channels with noisy feedback,CSC,,,,
Comparison of Self-Aware and Organic Computing Systems,CSC,,,,
First Order Methods beyond Convexity and Lipschitz Gradient Continuity with Applications to Quadratic Inverse Problems,CSC,,,,
An Army of Me: Sockpuppets in Online Discussion Communities,CSC,PHY,STA,,
Robust Bayesian Optimization with Student-t Likelihood,CSC,,STA,,
Vehicle Localization and Control on Roads with Prior Grade Map,CSC,,,,
Estimating Tactile Data for Adaptive Grasping of Novel Objects,CSC,,,,
Generalization Bounds of SGLD for Non-convex Learning: Two Theoretical Viewpoints,CSC,,STA,,
Near-UV OH Prompt Emission in the Innermost Coma of 103P/Hartley 2,,PHY,,,
Effective gravity and effective quantum equations in a system inspired by walking droplets experiments,,PHY,,,
A gradient estimate for nonlocal minimal graphs,,,,,
